Tanggal,Total 5 Hari (mm),Max Kering 15 Hari,Total 30 Hari (mm),Label sistem
2014-05-01,64.1,2,411.5,hijau
2014-05-02,67.1,2,406.4,hijau
2014-05-03,76.9,2,424.2,hijau
2014-05-04,79.3,2,426.3,hijau
2014-05-05,79.6,2,418.1,hijau
2014-05-06,87.0,2,427.6,hijau
2014-05-07,81.9,2,430.9,hijau
2014-05-08,75.5,2,436.2,hijau
2014-05-09,80.2,2,418.5,hijau
2014-05-10,73.5,2,401.3,hijau
2014-05-11,96.3,2,388.8,hijau
2014-05-12,89.2,2,381.6,hijau
2014-05-13,87.3,2,375.7,hijau
2014-05-14,83.1,2,367.7,hijau
2014-05-15,87.9,2,362.3,hijau
2014-05-16,51.1,3,338.5,hijau
2014-05-17,68.3,4,345.5,hijau
2014-05-18,64.1,4,338.9,hijau
2014-05-19,62.0,4,326.3,hijau
2014-05-20,52.4,4,316.2,hijau
2014-05-21,39.0,4,343.2,hijau
2014-05-22,31.7,4,330.6,kuning
2014-05-23,57.1,4,331.3,hijau
2014-05-24,50.5,4,329.2,hijau
2014-05-25,50.8,4,334.7,hijau
2014-05-26,73.9,4,354.6,hijau
2014-05-27,68.2,4,365.9,hijau
2014-05-28,63.3,5,348.5,hijau
2014-05-29,71.2,6,361.4,hijau
2014-05-30,73.9,7,381.9,hijau
2014-05-31,80.2,7,379.2,hijau
2014-06-01,91.7,7,388.4,hijau
2014-06-02,88.9,7,376.5,hijau
2014-06-03,71.4,7,373.2,hijau
2014-06-04,62.8,7,379.7,hijau
2014-06-05,48.3,7,379.0,hijau
2014-06-06,32.5,7,406.2,kuning
2014-06-07,15.0,7,391.2,kuning
2014-06-08,29.4,6,437.2,kuning
2014-06-09,34.5,5,463.1,kuning
2014-06-10,46.0,4,493.2,hijau
2014-06-11,53.1,4,513.4,hijau
2014-06-12,50.4,4,516.4,hijau
2014-06-13,41.7,4,510.8,hijau
2014-06-14,41.8,4,527.7,hijau
2014-06-15,55.8,4,525.6,hijau
2014-06-16,53.4,3,530.1,hijau
2014-06-17,56.6,3,539.8,hijau
2014-06-18,65.0,4,546.3,hijau
2014-06-19,70.9,4,548.9,hijau
2014-06-20,50.4,4,533.1,hijau
2014-06-21,67.0,4,535.7,hijau
2014-06-22,74.3,4,546.1,hijau
2014-06-23,82.7,4,545.7,hijau
2014-06-24,98.0,4,546.7,hijau
2014-06-25,98.5,4,546.0,hijau
2014-06-26,90.7,4,537.9,hijau
2014-06-27,91.2,4,539.4,hijau
2014-06-28,83.1,4,537.9,hijau
2014-06-29,71.7,4,513.5,hijau
2014-06-30,80.0,3,502.6,hijau
2014-07-01,109.4,2,487.3,hijau
2014-07-02,103.7,2,497.2,hijau
2014-07-03,135.4,3,531.7,hijau
2014-07-04,146.1,4,532.8,hijau
2014-07-05,162.5,4,521.8,hijau
2014-07-06,139.7,4,485.7,hijau
2014-07-07,140.2,4,483.5,hijau
2014-07-08,103.0,4,452.8,hijau
2014-07-09,99.2,4,436.4,hijau
2014-07-10,78.3,4,421.6,hijau
2014-07-11,69.8,4,420.2,hijau
2014-07-12,73.8,4,426.1,hijau
2014-07-13,77.1,4,427.5,hijau
2014-07-14,63.0,4,428.2,hijau
2014-07-15,63.4,4,445.0,hijau
2014-07-16,59.0,3,450.9,hijau
2014-07-17,62.9,3,465.2,hijau
2014-07-18,64.3,3,469.1,hijau
2014-07-19,68.7,3,475.2,hijau
2014-07-20,63.3,3,476.3,hijau
2014-07-21,69.3,3,499.8,hijau
2014-07-22,67.6,3,497.8,hijau
2014-07-23,74.9,3,504.3,hijau
2014-07-24,64.8,3,513.9,hijau
2014-07-25,55.2,3,508.9,hijau
2014-07-26,40.1,3,499.4,hijau
2014-07-27,49.0,3,510.6,hijau
2014-07-28,76.9,3,519.1,hijau
2014-07-29,91.0,2,539.2,hijau
2014-07-30,99.1,2,550.0,hijau
2014-07-31,107.8,2,548.3,hijau
2014-08-01,90.1,2,525.9,hijau
2014-08-02,56.5,2,481.9,hijau
2014-08-03,49.7,2,475.3,hijau
2014-08-04,62.4,2,473.7,hijau
2014-08-05,74.2,2,472.9,hijau
2014-08-06,82.8,2,462.6,hijau
2014-08-07,77.7,2,473.5,hijau
2014-08-08,91.0,2,484.2,hijau
2014-08-09,101.7,2,503.3,hijau
2014-08-10,100.5,2,485.8,hijau
2014-08-11,112.9,1,477.5,hijau
2014-08-12,118.7,1,479.0,hijau
2014-08-13,110.1,1,460.3,hijau
2014-08-14,94.7,1,436.6,hijau
2014-08-15,107.9,2,421.4,hijau
2014-08-16,95.5,3,416.6,hijau
2014-08-17,99.6,4,415.2,hijau
2014-08-18,107.3,4,395.0,hijau
2014-08-19,95.8,4,384.5,hijau
2014-08-20,68.8,4,352.8,hijau
2014-08-21,80.3,4,338.0,hijau
2014-08-22,89.7,4,339.9,hijau
2014-08-23,90.2,4,337.6,hijau
2014-08-24,96.3,4,336.2,hijau
2014-08-25,89.0,4,334.7,hijau
2014-08-26,64.3,4,326.5,hijau
2014-08-27,39.7,4,316.1,hijau
2014-08-28,27.0,4,329.6,kuning
2014-08-29,22.9,5,329.2,kuning
2014-08-30,32.4,6,338.7,kuning
2014-08-31,26.8,6,352.3,kuning
2014-09-01,48.1,6,388.2,hijau
2014-09-02,58.6,6,401.5,hijau
2014-09-03,91.9,6,407.4,hijau
2014-09-04,87.1,6,427.3,hijau
2014-09-05,97.7,6,430.3,hijau
2014-09-06,83.2,6,445.1,hijau
2014-09-07,67.2,6,442.7,hijau
2014-09-08,35.0,6,412.2,kuning
2014-09-09,36.2,5,440.0,kuning
2014-09-10,52.0,4,432.3,hijau
2014-09-11,55.0,4,419.3,hijau
2014-09-12,44.8,4,422.3,hijau
2014-09-13,42.6,4,416.9,hijau
2014-09-14,39.3,4,426.5,hijau
2014-09-15,16.9,4,416.1,kuning
2014-09-16,24.2,4,422.1,kuning
2014-09-17,49.9,3,437.8,hijau
2014-09-18,47.5,2,436.8,hijau
2014-09-19,50.7,2,453.3,hijau
2014-09-20,68.8,2,471.9,hijau
2014-09-21,65.9,2,466.8,hijau
2014-09-22,82.3,2,449.3,hijau
2014-09-23,89.2,2,447.1,hijau
2014-09-24,93.0,2,454.0,hijau
2014-09-25,90.1,2,452.3,hijau
2014-09-26,111.7,2,462.0,hijau
2014-09-27,98.8,3,436.6,hijau
2014-09-28,101.1,4,443.4,hijau
2014-09-29,121.1,4,454.1,hijau
2014-09-30,104.7,4,447.6,hijau
2014-10-01,105.0,4,421.9,hijau
2014-10-02,99.8,4,405.0,hijau
2014-10-03,96.8,4,409.5,hijau
2014-10-04,99.8,4,416.8,hijau
2014-10-05,99.7,4,441.0,hijau
2014-10-06,57.4,4,417.2,hijau
2014-10-07,46.8,4,404.0,hijau
2014-10-08,39.7,4,407.2,hijau
2014-10-09,22.7,4,384.2,kuning
2014-10-10,35.8,3,404.4,kuning
2014-10-11,57.8,2,416.6,hijau
2014-10-12,60.3,2,414.6,hijau
2014-10-13,62.5,2,429.6,hijau
2014-10-14,66.1,2,420.9,hijau
2014-10-15,72.7,2,430.5,hijau
2014-10-16,69.0,2,426.3,hijau
2014-10-17,61.4,2,419.9,hijau
2014-10-18,57.9,2,428.5,hijau
2014-10-19,51.4,2,428.0,hijau
2014-10-20,49.3,2,428.9,hijau
2014-10-21,61.1,2,423.3,hijau
2014-10-22,69.6,1,433.1,hijau
2014-10-23,85.5,2,437.5,hijau
2014-10-24,93.1,3,443.7,hijau
2014-10-25,85.4,3,444.3,hijau
2014-10-26,71.7,3,435.6,hijau
2014-10-27,67.2,3,443.9,hijau
2014-10-28,67.2,3,454.8,hijau
2014-10-29,83.8,4,478.6,hijau
2014-10-30,98.1,4,470.9,hijau
2014-10-31,100.3,4,475.1,hijau
2014-11-01,98.8,4,484.0,hijau
2014-11-02,94.5,4,491.9,hijau
2014-11-03,67.2,4,501.6,hijau
2014-11-04,63.1,4,495.1,hijau
2014-11-05,56.8,4,489.7,hijau
2014-11-06,57.3,4,496.0,hijau
2014-11-07,62.0,4,481.9,hijau
2014-11-08,59.3,4,471.4,hijau
2014-11-09,61.9,4,458.4,hijau
2014-11-10,67.5,3,470.7,hijau
2014-11-11,65.6,3,474.7,hijau
2014-11-12,61.4,3,484.5,hijau
2014-11-13,73.1,3,485.5,hijau
2014-11-14,71.1,3,473.5,hijau
2014-11-15,66.0,3,502.7,hijau
2014-11-16,74.5,3,501.0,hijau
2014-11-17,66.9,3,512.3,hijau
2014-11-18,67.1,3,508.0,hijau
2014-11-19,64.7,3,505.3,hijau
2014-11-20,73.4,2,511.5,hijau
2014-11-21,80.3,2,514.8,hijau
2014-11-22,102.8,3,526.8,hijau
2014-11-23,128.0,4,543.5,hijau
2014-11-24,112.0,5,553.1,hijau
2014-11-25,111.1,5,541.4,hijau
2014-11-26,107.4,5,531.5,hijau
2014-11-27,104.2,5,549.3,hijau
2014-11-28,106.8,5,520.1,hijau
2014-11-29,122.2,5,535.6,hijau
2014-11-30,115.0,5,523.7,hijau
2014-12-01,110.9,5,523.9,hijau
2014-12-02,84.5,5,504.0,hijau
2014-12-03,37.0,5,478.0,kuning
2014-12-04,26.4,5,463.8,kuning
2014-12-05,37.7,4,468.2,kuning
2014-12-06,36.0,3,463.6,kuning
2014-12-07,64.5,2,475.4,hijau
2014-12-08,73.4,2,485.0,hijau
2014-12-09,77.0,2,497.9,hijau
2014-12-10,99.5,2,482.0,hijau
2014-12-11,91.9,2,496.7,hijau
2014-12-12,89.3,2,513.0,hijau
2014-12-13,95.7,2,528.3,hijau
2014-12-14,102.9,2,519.2,hijau
2014-12-15,74.8,2,476.0,hijau
2014-12-16,88.3,2,473.7,hijau
2014-12-17,81.3,2,481.8,hijau
2014-12-18,102.6,2,474.0,hijau
2014-12-19,112.6,2,467.3,hijau
2014-12-20,103.2,2,467.7,hijau
2014-12-21,97.0,3,455.8,hijau
2014-12-22,125.3,4,433.5,hijau
2014-12-23,104.6,5,400.3,hijau
2014-12-24,94.5,5,386.3,hijau
2014-12-25,93.5,5,393.9,hijau
2014-12-26,99.8,5,399.4,hijau
2014-12-27,59.0,5,377.4,hijau
2014-12-28,64.7,5,368.6,hijau
2014-12-29,50.4,5,363.0,hijau
2014-12-30,59.4,5,390.9,hijau
2014-12-31,50.6,5,380.1,hijau
2015-01-01,55.9,5,390.5,hijau
2015-01-02,43.9,5,389.3,hijau
2015-01-03,60.5,4,398.4,hijau
2015-01-04,51.5,3,391.4,hijau
2015-01-05,69.1,3,382.1,hijau
2015-01-06,102.2,4,375.8,hijau
2015-01-07,116.8,5,370.4,hijau
2015-01-08,98.3,5,370.2,hijau
2015-01-09,93.5,5,367.5,hijau
2015-01-10,69.0,5,346.2,hijau
2015-01-11,58.1,5,295.2,kuning
2015-01-12,41.3,5,278.0,kuning
2015-01-13,51.0,5,296.7,kuning
2015-01-14,66.6,5,298.2,kuning
2015-01-15,70.4,5,294.4,kuning
2015-01-16,33.0,5,263.2,kuning
2015-01-17,29.0,5,264.9,kuning
2015-01-18,31.5,4,263.6,kuning
2015-01-19,29.4,3,265.3,kuning
2015-01-20,40.6,2,276.2,kuning
2015-01-21,69.3,3,331.1,hijau
2015-01-22,72.9,4,319.9,hijau
2015-01-23,71.3,4,299.1,kuning
2015-01-24,90.5,4,284.0,kuning
2015-01-25,80.5,4,274.3,kuning
