Tanggal;Total 5 Hari (mm);Max Kering 15 Hari;Total 30 Hari (mm);Label RBS;Label Aktual
01/05/2024;74.6;6;351.9;hijau;
02/05/2024;72.6;7;340.3;hijau;
03/05/2024;73.4;8;344.2;hijau;
04/05/2024;73.3;9;339.5;hijau;
05/05/2024;75.6;10;335.8;hijau;
06/05/2024;73.7;11;337.1;kuning;
07/05/2024;61.7;12;330.4;kuning;
08/05/2024;59.4;13;327.1;kuning;
09/05/2024;53.4;14;317.5;kuning;
10/05/2024;47.5;15;309.1;kuning;
11/05/2024;52.5;15;308.9;kuning;
12/05/2024;53.7;15;308.1;kuning;
13/05/2024;54.7;15;305.9;kuning;
14/05/2024;56.4;15;307.8;kuning;
15/05/2024;59.8;15;309.1;kuning;
16/05/2024;54.6;15;302.6;kuning;
17/05/2024;56.5;15;299.5;kuning;
18/05/2024;55.7;14;299.8;kuning;
19/05/2024;54.4;13;299.9;kuning;
20/05/2024;49.2;12;300.4;kuning;
21/05/2024;47.1;11;306.9;kuning;
22/05/2024;48.2;10;303.3;hijau;
23/05/2024;46.3;9;302.0;hijau;
24/05/2024;44.2;8;303.1;hijau;
25/05/2024;44.7;7;308.3;hijau;
26/05/2024;49.5;8;315.8;hijau;
27/05/2024;47.5;9;314.4;hijau;
28/05/2024;54.8;10;314.8;hijau;
29/05/2024;57.7;11;314.5;kuning;
30/05/2024;59.0;12;313.2;kuning;
31/05/2024;59.8;13;314.1;kuning;
01/06/2024;62.7;14;317.4;kuning;
02/06/2024;56.2;15;309.2;kuning;
03/06/2024;51.4;15;305.5;kuning;
04/06/2024;49.0;15;302.4;kuning;
05/06/2024;45.6;15;297.5;kuning;
06/06/2024;39.5;15;294.7;kuning;
07/06/2024;38.2;15;295.7;kuning;
08/06/2024;43.7;15;302.3;kuning;
09/06/2024;47.5;15;308.3;kuning;
10/06/2024;46.1;15;312.5;kuning;
11/06/2024;45.1;15;316.8;kuning;
12/06/2024;48.6;15;321.3;kuning;
13/06/2024;48.5;15;319.8;kuning;
14/06/2024;51.1;15;321.6;kuning;
15/06/2024;58.9;15;331.1;kuning;
16/06/2024;60.3;15;337.9;kuning;
17/06/2024;57.9;15;334.4;kuning;
18/06/2024;57.6;15;330.6;kuning;
19/06/2024;57.0;15;325.5;kuning;
20/06/2024;56.0;15;324.1;kuning;
21/06/2024;59.3;15;332.0;kuning;
22/06/2024;59.1;15;336.3;kuning;
23/06/2024;55.6;15;331.1;kuning;
24/06/2024;49.6;15;332.4;kuning;
25/06/2024;47.7;15;330.4;kuning;
26/06/2024;50.5;15;332.4;kuning;
27/06/2024;49.2;15;334.5;kuning;
28/06/2024;48.7;15;334.3;kuning;
29/06/2024;48.2;15;336.2;kuning;
30/06/2024;43.2;14;336.3;kuning;
01/07/2024;40.0;13;332.5;kuning;
02/07/2024;42.7;12;335.5;kuning;
03/07/2024;48.2;11;344.0;kuning;
04/07/2024;54.9;10;350.9;hijau;
05/07/2024;60.6;9;355.2;hijau;
06/07/2024;61.6;8;357.2;hijau;
07/07/2024;63.9;7;357.1;hijau;
08/07/2024;61.2;6;354.0;hijau;
09/07/2024;60.8;5;347.9;hijau;
10/07/2024;64.6;5;346.4;hijau;
11/07/2024;66.2;5;348.8;hijau;
