tanggal,harga_prediksi
2024-05-01,13.171578
2024-05-02,13.1617365
2024-05-03,13.151527
2024-05-04,13.14158
2024-05-05,13.131447
2024-05-06,13.121406
2024-05-07,13.11157
2024-05-08,13.101566
2024-05-09,13.091014
2024-05-10,13.08059
2024-05-11,13.069929
2024-05-12,13.059566
2024-05-13,13.049166
2024-05-14,13.038389
2024-05-15,13.027317
2024-05-16,13.016265
2024-05-17,13.005125
2024-05-18,12.993852
2024-05-19,12.982548
2024-05-20,12.970972
2024-05-21,12.959663
2024-05-22,12.948295
2024-05-23,12.936867
2024-05-24,12.925334
2024-05-25,12.913331
2024-05-26,12.901655
2024-05-27,12.889703
2024-05-28,12.877871
2024-05-29,12.86609
2024-05-30,12.854117
2024-05-31,12.842203
2024-06-01,12.830144
2024-06-02,12.818052
2024-06-03,12.805925
2024-06-04,12.793765
2024-06-05,12.7815695
2024-06-06,12.769341
2024-06-07,12.757077
2024-06-08,12.744779
2024-06-09,12.73245
2024-06-10,12.720089
2024-06-11,12.707699
2024-06-12,12.695277
2024-06-13,12.682828
2024-06-14,12.670352
2024-06-15,12.65785
2024-06-16,12.645327
2024-06-17,12.632778
2024-06-18,12.620208
2024-06-19,12.607618
2024-06-20,12.59501
2024-06-21,12.582381
2024-06-22,12.569736
2024-06-23,12.557074
2024-06-24,12.544397
2024-06-25,12.53171
2024-06-26,12.51901
2024-06-27,12.506299
2024-06-28,12.49358
2024-06-29,12.480851
2024-06-30,12.468117
2024-07-01,12.455377
2024-07-02,12.442634
2024-07-03,12.429889
2024-07-04,12.417144
2024-07-05,12.404399
2024-07-06,12.391656
2024-07-07,12.378919
2024-07-08,12.366185
2024-07-09,12.353458
2024-07-10,12.340741
2024-07-11,12.328033
2024-07-12,12.315337
2024-07-13,12.302655
2024-07-14,12.289988
2024-07-15,12.277337
2024-07-16,12.264705
2024-07-17,12.252092
2024-07-18,12.239501
2024-07-19,12.226933
2024-07-20,12.21439
2024-07-21,12.201874
2024-07-22,12.189385
2024-07-23,12.1769285
2024-07-24,12.164502
2024-07-25,12.152108
2024-07-26,12.1397505
2024-07-27,12.127429
2024-07-28,12.115147
2024-07-29,12.102903
2024-07-30,12.090702
2024-07-31,12.078545
2024-08-01,12.066432
2024-08-02,12.054365
2024-08-03,12.042347
2024-08-04,12.030378
2024-08-05,12.018462
2024-08-06,12.006598
2024-08-07,11.99479
2024-08-08,11.983037
2024-08-09,11.971342
2024-08-10,11.959706
2024-08-11,11.94813
2024-08-12,11.936617
2024-08-13,11.925167
2024-08-14,11.913782
2024-08-15,11.902464
2024-08-16,11.891213
2024-08-17,11.880031
2024-08-18,11.868919
2024-08-19,11.85788
2024-08-20,11.846912
