Tanggal,Total 5 Hari (mm),Max Kering 15 Hari,Total 30 Hari (mm),Label RBS
2024-05-01,74.6,6,351.9,hijau
2024-05-02,72.6,7,340.3,hijau
2024-05-03,73.4,8,344.2,hijau
2024-05-04,73.3,9,339.5,hijau
2024-05-05,75.6,10,335.8,hijau
2024-05-06,73.7,11,337.1,kuning
2024-05-07,61.7,12,330.4,kuning
2024-05-08,59.4,13,327.1,kuning
2024-05-09,53.4,14,317.5,kuning
2024-05-10,47.5,15,309.1,kuning
2024-05-11,52.5,15,308.9,kuning
2024-05-12,53.7,15,308.1,kuning
2024-05-13,54.7,15,305.9,kuning
2024-05-14,56.4,15,307.8,kuning
2024-05-15,59.8,15,309.1,kuning
2024-05-16,54.6,15,302.6,kuning
2024-05-17,56.5,15,299.5,kuning
2024-05-18,55.7,14,299.8,kuning
2024-05-19,54.4,13,299.9,kuning
2024-05-20,49.2,12,300.4,kuning
2024-05-21,47.1,11,306.9,kuning
2024-05-22,48.2,10,303.3,hijau
2024-05-23,46.3,9,302.0,hijau
2024-05-24,44.2,8,303.1,hijau
2024-05-25,44.7,7,308.3,hijau
2024-05-26,49.5,8,315.8,hijau
2024-05-27,47.5,9,314.4,hijau
2024-05-28,54.8,10,314.8,hijau
2024-05-29,57.7,11,314.5,kuning
2024-05-30,59.0,12,313.2,kuning
2024-05-31,59.8,13,314.1,kuning
2024-06-01,62.7,14,317.4,kuning
2024-06-02,56.2,15,309.2,kuning
2024-06-03,51.4,15,305.5,kuning
2024-06-04,49.0,15,302.4,kuning
2024-06-05,45.6,15,297.5,kuning
2024-06-06,39.5,15,294.7,kuning
2024-06-07,38.2,15,295.7,kuning
2024-06-08,43.7,15,302.3,kuning
2024-06-09,47.5,15,308.3,kuning
2024-06-10,46.1,15,312.5,kuning
2024-06-11,45.1,15,316.8,kuning
2024-06-12,48.6,15,321.3,kuning
2024-06-13,48.5,15,319.8,kuning
2024-06-14,51.1,15,321.6,kuning
2024-06-15,58.9,15,331.1,kuning
2024-06-16,60.3,15,337.9,kuning
2024-06-17,57.9,15,334.4,kuning
2024-06-18,57.6,15,330.6,kuning
2024-06-19,57.0,15,325.5,kuning
2024-06-20,56.0,15,324.1,kuning
2024-06-21,59.3,15,332.0,kuning
2024-06-22,59.1,15,336.3,kuning
2024-06-23,55.6,15,331.1,kuning
2024-06-24,49.6,15,332.4,kuning
2024-06-25,47.7,15,330.4,kuning
2024-06-26,50.5,15,332.4,kuning
2024-06-27,49.2,15,334.5,kuning
2024-06-28,48.7,15,334.3,kuning
2024-06-29,48.2,15,336.2,kuning
2024-06-30,43.2,14,336.3,kuning
2024-07-01,40.0,13,332.5,kuning
2024-07-02,42.7,12,335.5,kuning
2024-07-03,48.2,11,344.0,kuning
2024-07-04,54.9,10,350.9,hijau
2024-07-05,60.6,9,355.2,hijau
2024-07-06,61.6,8,357.2,hijau
2024-07-07,63.9,7,357.1,hijau
2024-07-08,61.2,6,354.0,hijau
2024-07-09,60.8,5,347.9,hijau
2024-07-10,64.6,5,346.4,hijau
2024-07-11,66.2,5,348.8,hijau
2024-07-12,61.6,5,344.5,hijau
2024-07-13,59.3,5,342.7,hijau
2024-07-14,55.0,5,345.2,hijau
2024-07-15,52.0,6,339.9,hijau
2024-07-16,54.3,7,340.9,hijau
2024-07-17,59.9,8,346.3,hijau
2024-07-18,58.1,8,344.4,hijau
2024-07-19,63.9,8,347.3,hijau
2024-07-20,62.2,8,346.5,hijau
2024-07-21,59.7,8,346.6,hijau
2024-07-22,57.2,8,344.4,hijau
2024-07-23,58.8,8,350.0,hijau
2024-07-24,53.4,8,356.6,hijau
2024-07-25,53.7,7,359.9,hijau
2024-07-26,50.7,8,357.4,hijau
2024-07-27,50.3,9,365.1,hijau
2024-07-28,58.5,10,376.3,hijau
2024-07-29,62.8,10,379.3,hijau
2024-07-30,62.1,10,377.2,hijau
2024-07-31,64.6,10,378.6,hijau
2024-08-01,64.3,10,380.3,hijau
2024-08-02,58.2,10,372.9,hijau
2024-08-03,51.9,9,370.5,hijau
2024-08-04,51.7,8,378.0,hijau
2024-08-05,53.2,7,373.7,hijau
2024-08-06,51.2,6,371.3,hijau
2024-08-07,49.8,6,374.3,hijau
2024-08-08,58.1,6,381.1,hijau
2024-08-09,58.2,6,387.2,hijau
2024-08-10,58.3,6,385.0,hijau
2024-08-11,63.4,6,387.8,hijau
2024-08-12,61.1,6,392.4,hijau
2024-08-13,57.1,6,388.6,hijau
2024-08-14,58.5,5,386.7,hijau
2024-08-15,60.0,4,384.3,hijau
2024-08-16,58.0,3,382.0,hijau
2024-08-17,63.6,3,384.8,hijau
2024-08-18,73.2,3,381.3,hijau
2024-08-19,75.7,3,380.1,hijau
2024-08-20,70.6,3,380.9,hijau
2024-08-21,77.9,3,381.2,hijau
2024-08-22,85.1,3,383.4,hijau
2024-08-23,76.1,3,378.3,hijau
2024-08-24,70.9,3,378.4,hijau
2024-08-25,71.8,3,379.0,hijau
2024-08-26,65.5,3,369.3,hijau
2024-08-27,55.0,3,359.6,hijau
2024-08-28,54.0,4,361.6,hijau
2024-08-29,63.0,5,363.8,hijau
2024-08-30,59.8,6,366.2,hijau
2024-08-31,55.2,7,365.0,hijau
2024-09-01,59.6,8,372.5,hijau
2024-09-02,62.6,9,376.4,hijau
2024-09-03,60.9,10,374.0,hijau
2024-09-04,64.5,10,382.0,hijau
2024-09-05,67.7,10,381.9,hijau
2024-09-06,67.9,10,382.0,hijau
2024-09-07,65.6,10,382.5,hijau
2024-09-08,57.8,10,378.6,hijau
2024-09-09,57.6,9,389.5,hijau
2024-09-10,57.6,8,390.1,hijau
2024-09-11,53.5,7,390.4,hijau
2024-09-12,49.8,6,395.4,hijau
2024-09-13,51.9,5,400.3,hijau
2024-09-14,56.6,4,403.8,hijau
2024-09-15,57.3,3,405.8,hijau
2024-09-16,62.2,3,411.9,hijau
2024-09-17,70.3,3,418.7,hijau
2024-09-18,74.0,3,424.3,hijau
2024-09-19,68.7,3,424.5,hijau
2024-09-20,66.0,3,419.6,hijau
2024-09-21,61.4,3,417.5,hijau
2024-09-22,59.3,3,414.1,hijau
2024-09-23,56.3,3,409.7,hijau
2024-09-24,59.1,2,409.8,hijau
2024-09-25,61.2,2,414.5,hijau
2024-09-26,67.9,2,421.0,hijau
2024-09-27,68.8,2,420.2,hijau
2024-09-28,73.1,2,419.7,hijau
2024-09-29,75.5,2,420.3,hijau
2024-09-30,72.2,2,420.5,hijau
2024-10-01,69.1,2,419.2,hijau
2024-10-02,68.7,2,423.6,hijau
2024-10-03,65.5,2,422.0,hijau
2024-10-04,72.0,2,420.7,hijau
2024-10-05,75.9,1,427.9,hijau
2024-10-06,76.4,2,435.3,hijau
2024-10-07,78.5,3,437.6,hijau
2024-10-08,79.5,4,439.5,hijau
2024-10-09,71.9,5,430.3,hijau
2024-10-10,73.4,5,437.9,hijau
2024-10-11,75.0,5,442.7,hijau
2024-10-12,73.1,5,439.5,hijau
2024-10-13,75.9,5,441.2,hijau
2024-10-14,77.3,5,443.9,hijau
2024-10-15,71.0,5,446.3,hijau
2024-10-16,67.8,5,446.2,hijau
2024-10-17,65.7,5,449.4,hijau
2024-10-18,59.4,5,447.9,hijau
2024-10-19,53.9,5,446.9,hijau
2024-10-20,60.9,4,455.1,hijau
2024-10-21,64.9,3,456.1,hijau
2024-10-22,65.4,2,463.9,hijau
2024-10-23,66.3,2,466.4,hijau
2024-10-24,69.6,2,473.9,hijau
2024-10-25,67.2,2,477.8,hijau
2024-10-26,66.0,2,480.5,hijau
2024-10-27,72.2,1,482.9,hijau
2024-10-28,75.5,1,489.5,hijau
2024-10-29,76.0,1,492.1,hijau
2024-10-30,79.6,1,494.5,hijau
2024-10-31,85.2,1,496.7,hijau
2024-11-01,82.7,1,494.1,hijau
2024-11-02,83.0,1,497.8,hijau
2024-11-03,81.6,1,503.3,hijau
2024-11-04,85.9,1,504.7,hijau
2024-11-05,83.8,1,501.4,hijau
2024-11-06,80.4,1,499.6,hijau
2024-11-07,81.2,1,497.6,hijau
2024-11-08,85.4,1,496.9,hijau
2024-11-09,81.8,1,490.4,hijau
2024-11-10,78.5,1,481.9,hijau
2024-11-11,82.9,1,484.7,hijau
2024-11-12,82.5,1,489.7,hijau
2024-11-13,80.4,1,491.7,hijau
2024-11-14,79.8,1,491.2,hijau
2024-11-15,77.6,1,491.6,hijau
2024-11-16,80.2,1,487.9,hijau
2024-11-17,77.9,1,486.1,hijau
2024-11-18,80.9,1,484.1,hijau
2024-11-19,83.6,1,482.6,hijau
2024-11-20,89.3,1,488.8,hijau
2024-11-21,84.5,1,482.7,hijau
2024-11-22,89.4,0,480.4,hijau
2024-11-23,87.8,0,474.2,hijau
2024-11-24,83.9,0,469.7,hijau
2024-11-25,82.2,1,462.8,hijau
2024-11-26,83.4,1,461.2,hijau
2024-11-27,83.8,1,458.2,hijau
2024-11-28,87.2,1,454.5,hijau
2024-11-29,89.7,1,448.6,hijau
2024-11-30,90.0,1,442.3,hijau
2024-12-01,88.2,1,436.2,hijau
2024-12-02,82.8,1,432.2,hijau
2024-12-03,75.2,1,426.0,hijau
2024-12-04,71.6,1,421.1,hijau
2024-12-05,64.3,1,415.2,hijau
2024-12-06,65.5,1,416.5,hijau
2024-12-07,73.4,1,416.3,hijau
2024-12-08,80.2,2,414.6,hijau
2024-12-09,82.6,2,414.6,hijau
2024-12-10,88.2,2,417.4,hijau
2024-12-11,86.1,2,412.8,hijau
2024-12-12,78.9,2,408.3,hijau
2024-12-13,72.8,2,408.1,hijau
2024-12-14,71.2,2,404.6,hijau
2024-12-15,74.8,2,399.0,hijau
2024-12-16,75.0,3,393.7,hijau
2024-12-17,72.2,3,394.5,hijau
2024-12-18,71.0,3,391.7,hijau
2024-12-19,70.6,3,388.5,hijau
2024-12-20,63.3,3,382.1,hijau
2024-12-21,62.9,3,381.1,hijau
2024-12-22,67.2,3,381.0,hijau
2024-12-23,68.1,3,381.0,hijau
2024-12-24,62.9,3,377.5,hijau
2024-12-25,61.7,3,377.3,hijau
2024-12-26,58.4,3,377.0,hijau
2024-12-27,57.7,3,375.2,hijau
2024-12-28,58.7,3,368.1,hijau
2024-12-29,62.2,2,363.6,hijau
2024-12-30,62.8,2,364.0,hijau
2024-12-31,68.6,3,366.9,hijau
2025-01-01,66.9,3,363.1,hijau
2025-01-02,63.7,3,357.9,hijau
2025-01-03,65.1,3,354.9,hijau
2025-01-04,66.5,3,352.3,hijau
2025-01-05,61.8,4,344.4,hijau
2025-01-06,65.4,5,343.1,hijau
2025-01-07,73.7,6,337.4,hijau
2025-01-08,72.7,7,335.9,hijau
2025-01-09,69.8,8,333.9,hijau
2025-01-10,67.0,9,334.3,hijau
2025-01-11,65.1,10,326.7,hijau
2025-01-12,56.4,11,318.0,kuning
2025-01-13,55.1,12,318.6,kuning
2025-01-14,57.9,13,315.7,kuning
2025-01-15,62.4,13,308.4,kuning
2025-01-16,58.7,13,298.5,kuning
2025-01-17,60.2,12,294.4,kuning
2025-01-18,59.6,11,293.6,kuning
2025-01-19,58.6,10,288.3,kuning
2025-01-20,58.9,9,280.6,kuning
2025-01-21,61.4,8,280.2,kuning
2025-01-22,55.2,7,275.4,kuning
2025-01-23,49.0,8,271.4,kuning
2025-01-24,48.4,9,263.9,kuning
2025-01-25,48.2,10,259.3,kuning
2025-01-26,45.6,11,254.2,kuning
2025-01-27,48.6,12,256.0,kuning
2025-01-28,53.5,13,255.1,kuning
2025-01-29,51.1,14,249.9,kuning
2025-01-30,46.0,15,242.2,kuning
2025-01-31,46.9,15,246.6,kuning
2025-02-01,43.3,15,250.7,kuning
2025-02-02,46.0,15,253.4,kuning
2025-02-03,48.0,15,258.7,kuning
2025-02-04,51.7,15,254.1,kuning
2025-02-05,49.0,15,262.3,kuning
2025-02-06,54.3,15,274.7,kuning
2025-02-07,55.4,15,275.6,kuning
2025-02-08,51.7,15,275.2,kuning
2025-02-09,41.2,15,281.3,kuning
2025-02-10,36.9,15,286.7,merah
2025-02-11,32.8,15,286.9,merah
2025-02-12,30.0,15,282.4,merah
2025-02-13,30.5,15,284.4,merah
2025-02-14,34.6,15,292.4,merah
2025-02-15,40.4,14,299.1,kuning
2025-02-16,41.3,13,301.7,kuning
2025-02-17,37.4,12,300.5,kuning
2025-02-18,34.2,11,305.2,kuning
2025-02-19,37.5,10,314.2,kuning
2025-02-20,35.3,9,317.2,kuning
2025-02-21,35.8,8,318.1,kuning
2025-02-22,32.7,7,319.8,kuning
2025-02-23,34.4,6,323.8,kuning
2025-02-24,31.1,5,328.9,kuning
2025-02-25,38.1,4,330.7,hijau
2025-02-26,43.3,3,335.4,hijau
2025-02-27,51.8,2,342.3,hijau
2025-02-28,60.0,3,346.9,hijau
2025-03-01,58.0,4,351.5,hijau
2025-03-02,62.6,5,347.7,hijau
2025-03-03,67.2,6,347.7,hijau
2025-03-04,68.2,7,351.6,hijau
2025-03-05,64.5,8,350.3,hijau
2025-03-06,78.9,8,357.3,hijau
2025-03-07,73.4,8,345.9,hijau
2025-03-08,66.5,8,342.4,hijau
2025-03-09,62.3,8,340.9,hijau
2025-03-10,60.8,8,341.8,hijau
2025-03-11,52.3,8,337.4,hijau
2025-03-12,49.3,8,336.2,hijau
2025-03-13,47.5,7,339.8,hijau
2025-03-14,48.1,8,344.4,hijau
2025-03-15,51.3,9,348.2,hijau
2025-03-16,56.4,10,349.0,hijau
2025-03-17,58.5,11,347.5,kuning
2025-03-18,57.7,12,351.3,kuning
2025-03-19,56.7,12,359.3,kuning
2025-03-20,52.8,12,359.1,kuning
2025-03-21,52.3,12,355.3,kuning
2025-03-22,48.8,11,354.3,kuning
2025-03-23,53.1,10,357.0,hijau
2025-03-24,55.2,9,357.5,hijau
2025-03-25,57.5,8,362.3,hijau
2025-03-26,53.7,7,362.5,hijau
2025-03-27,55.1,6,367.7,hijau
2025-03-28,55.7,6,369.1,hijau
2025-03-29,61.1,6,372.6,hijau
2025-03-30,63.4,6,373.7,hijau
2025-03-31,63.8,6,374.7,hijau
2025-04-01,60.8,6,375.4,hijau
2025-04-02,61.8,6,376.5,hijau
2025-04-03,57.4,6,372.2,hijau
2025-04-04,56.0,5,374.3,hijau
2025-04-05,59.0,5,376.0,hijau
2025-04-06,63.7,5,377.4,hijau
2025-04-07,64.0,5,382.2,hijau
2025-04-08,65.9,5,383.8,hijau
2025-04-09,67.2,6,387.9,hijau
2025-04-10,63.9,6,389.4,hijau
2025-04-11,60.5,6,384.7,hijau
2025-04-12,59.1,6,378.1,hijau
2025-04-13,63.0,6,376.1,hijau
2025-04-14,62.1,6,373.5,hijau
2025-04-15,62.7,6,373.0,hijau
2025-04-16,65.3,6,377.0,hijau
2025-04-17,63.4,6,373.3,hijau
2025-04-18,54.8,7,368.5,hijau
2025-04-19,56.0,7,368.6,hijau
2025-04-20,59.4,7,371.0,hijau
2025-04-21,62.2,7,367.1,hijau
2025-04-22,65.1,7,367.2,hijau
2025-04-23,70.3,7,370.1,hijau
2025-04-24,69.0,7,367.7,hijau
2025-04-25,65.9,7,361.2,hijau
2025-04-26,62.8,7,352.3,hijau
2025-04-27,63.1,6,350.5,hijau
2025-04-28,60.8,5,346.1,hijau
2025-04-29,64.0,4,342.8,hijau
2025-04-30,65.1,5,339.9,hijau
2025-05-01,58.4,6,313.0,hijau,
2025-05-02,63.0,7,309.1,hijau,
2025-05-03,64.4,8,314.0,hijau,
2025-05-04,65.0,9,310.7,hijau,
2025-05-05,67.7,10,308.0,hijau,
2025-05-06,66.4,11,310.0,kuning,
2025-05-07,55.7,12,304.4,kuning,
2025-05-08,54.0,13,301.7,kuning,
2025-05-09,48.9,14,293.1,kuning,
2025-05-10,43.7,15,285.4,kuning,
2025-05-11,48.7,15,285.3,kuning,
2025-05-12,50.2,15,284.5,kuning,
2025-05-13,51.3,15,282.2,kuning,
2025-05-14,52.9,15,283.8,kuning,
2025-05-15,56.1,15,284.9,kuning,
2025-05-16,51.0,15,278.5,kuning,
2025-05-17,52.7,15,275.4,kuning,
2025-05-18,51.7,14,275.4,kuning,
2025-05-19,50.4,13,275.4,kuning,
2025-05-20,45.2,12,276.0,kuning,
2025-05-21,43.2,11,282.3,kuning,
2025-05-22,44.0,10,278.9,kuning,
2025-05-23,42.1,9,277.7,kuning,
2025-05-24,40.1,8,278.9,kuning,
2025-05-25,40.6,7,284.1,kuning,
2025-05-26,45.3,8,291.5,kuning,
2025-05-27,43.5,9,290.3,kuning,
2025-05-28,50.4,10,290.8,kuning,
2025-05-29,53.4,11,290.7,kuning,
2025-05-30,54.6,12,289.5,kuning,
2025-05-31,55.4,13,290.3,kuning,
2025-06-01,58.3,14,293.5,kuning,
